                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.51534,                0.48669,                 1.0675,                 0.8682,                 0.8036,                0.84837,                0.72075,                0.69825,                0.80229,                  1.247,             0.00023313,             0.00023313,             0.00023313
                     98,                0.50495,                0.49485,                 1.0678,                0.87863,                 0.7972,                0.85213,                0.72251,                0.67696,                0.77503,                 1.2243,               0.000229,               0.000229,               0.000229
                     99,                0.50669,                0.48714,                 1.0618,                 0.8814,                0.79379,                 0.8473,                0.71624,                0.69347,                0.77322,                 1.2288,             0.00022488,             0.00022488,             0.00022488
                    100,                0.50355,                0.48034,                 1.0615,                0.88673,                0.78808,                0.84381,                0.71101,                0.69969,                0.80405,                  1.246,             0.00022075,             0.00022075,             0.00022075
                    101,                0.49583,                0.47753,                 1.0511,                0.88156,                0.77733,                0.84532,                0.71058,                0.70103,                0.80371,                 1.2441,             0.00021662,             0.00021662,             0.00021662
                    102,                0.49564,                 0.4687,                 1.0577,                0.87099,                0.79572,                0.84794,                0.71123,                0.69874,                 0.7947,                 1.2377,              0.0002125,              0.0002125,              0.0002125
                    103,                0.49157,                0.46737,                 1.0544,                0.87719,                0.80634,                0.84887,                0.72318,                0.67737,                0.77691,                  1.226,             0.00020837,             0.00020837,             0.00020837
                    104,                0.49215,                0.46624,                 1.0525,                0.88225,                0.80948,                0.85102,                0.72107,                0.68232,                0.79233,                 1.2316,             0.00020425,             0.00020425,             0.00020425
                    105,                0.48597,                0.45125,                 1.0447,                0.86935,                0.79646,                0.84754,                0.72389,                0.67346,                0.78395,                 1.2276,             0.00020013,             0.00020013,             0.00020013
                    106,                0.48252,                0.45964,                 1.0497,                0.88584,                0.79353,                0.84574,                0.72351,                0.68425,                0.78686,                 1.2297,               0.000196,               0.000196,               0.000196
                    107,                0.48747,                0.46078,                 1.0518,                0.85369,                0.80783,                0.85228,                0.72069,                0.67735,                0.75957,                 1.2304,             0.00019188,             0.00019188,             0.00019188
                    108,                0.47843,                0.44785,                 1.0522,                0.87994,                0.79422,                0.85179,                0.72461,                0.67259,                0.77061,                 1.2119,             0.00018775,             0.00018775,             0.00018775
                    109,                0.48225,                0.44347,                 1.0488,                0.86349,                0.80453,                0.84679,                0.72405,                0.67385,                0.77163,                 1.2177,             0.00018362,             0.00018362,             0.00018362
                    110,                0.48618,                0.45977,                 1.0466,                0.86892,                0.81011,                0.85482,                0.72641,                0.67196,                0.74252,                 1.2264,              0.0001795,              0.0001795,              0.0001795
                    111,                0.47251,                0.44826,                 1.0418,                0.88025,                0.80881,                0.85069,                  0.725,                0.67906,                0.76614,                 1.2306,             0.00017538,             0.00017538,             0.00017538
                    112,                0.47458,                0.44243,                 1.0395,                0.87194,                0.81299,                0.84663,                0.71748,                0.68516,                0.78071,                 1.2354,             0.00017125,             0.00017125,             0.00017125
                    113,                0.47081,                0.44691,                 1.0463,                0.89085,                 0.7956,                 0.8542,                0.72949,                0.67578,                0.76273,                 1.2261,             0.00016713,             0.00016713,             0.00016713
                    114,                0.47934,                0.44041,                 1.0404,                0.89089,                0.79532,                0.85804,                 0.7237,                0.67922,                 0.7806,                 1.2347,               0.000163,               0.000163,               0.000163
                    115,                0.47236,                0.42776,                 1.0354,                0.88556,                0.79316,                0.85144,                0.72583,                0.67318,                0.78163,                 1.2366,             0.00015888,             0.00015888,             0.00015888
                    116,                0.46676,                0.43081,                  1.036,                0.88476,                0.80644,                0.85486,                0.73261,                0.67172,                0.75544,                 1.2198,             0.00015475,             0.00015475,             0.00015475
