                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.57712,                0.52815,                 1.0964,                0.88288,                 0.8398,                0.88266,                 0.7046,                0.75268,                0.68048,                 1.3064,              0.0072874,              0.0072874,              0.0072874
                    140,                0.57417,                0.50979,                 1.0953,                0.88542,                0.85103,                0.88802,                0.71935,                 0.7483,                0.64648,                 1.2863,              0.0072676,              0.0072676,              0.0072676
                    141,                0.57267,                0.51556,                 1.0943,                0.89159,                0.83175,                0.87995,                0.71075,                0.75211,                0.65636,                 1.2951,              0.0072478,              0.0072478,              0.0072478
                    142,                0.57803,                 0.5375,                 1.1024,                0.88116,                0.84715,                0.88464,                0.71551,                0.76498,                0.66519,                 1.3097,               0.007228,               0.007228,               0.007228
                    143,                0.56824,                0.52542,                 1.0901,                0.88092,                0.85005,                0.88897,                0.72306,                0.75708,                0.63455,                 1.3042,              0.0072082,              0.0072082,              0.0072082
                    144,                0.56916,                0.51781,                 1.0954,                0.86251,                0.84792,                 0.8876,                0.72327,                0.76024,                0.65745,                 1.3033,              0.0071884,              0.0071884,              0.0071884
                    145,                 0.5665,                  0.526,                 1.0972,                0.88001,                0.85262,                0.89671,                0.72825,                0.74971,                0.63575,                 1.2913,              0.0071686,              0.0071686,              0.0071686
                    146,                 0.5734,                0.51886,                 1.0932,                0.88379,                 0.8395,                0.88453,                0.72185,                0.75321,                0.66113,                 1.3063,              0.0071488,              0.0071488,              0.0071488
                    147,                0.56985,                0.51767,                 1.0925,                0.90137,                0.83924,                0.89142,                0.72165,                0.76328,                0.64223,                 1.3084,               0.007129,               0.007129,               0.007129
                    148,                0.56926,                0.51666,                 1.0921,                0.90824,                0.83703,                0.88827,                0.72332,                 0.7416,                0.63271,                  1.288,              0.0071092,              0.0071092,              0.0071092
                    149,                0.55894,                 0.5134,                 1.0884,                0.89738,                0.84456,                0.89361,                 0.7272,                0.73254,                0.61576,                 1.2892,              0.0070894,              0.0070894,              0.0070894
                    150,                0.55648,                0.49442,                 1.0808,                0.88652,                0.85774,                0.88987,                0.72209,                0.75775,                0.63343,                 1.2985,              0.0070696,              0.0070696,              0.0070696
                    151,                0.55189,                0.50088,                 1.0815,                0.89063,                0.86133,                0.89641,                 0.7321,                0.73895,                0.62885,                 1.2886,              0.0070498,              0.0070498,              0.0070498
                    152,                0.56402,                0.51997,                 1.0958,                0.91358,                0.84891,                0.89758,                0.72201,                 0.7551,                0.62779,                 1.3075,                0.00703,                0.00703,                0.00703
                    153,                0.55982,                0.50208,                 1.0926,                0.88844,                0.85749,                0.88924,                0.71938,                0.75511,                0.65767,                 1.2987,              0.0070102,              0.0070102,              0.0070102
                    154,                0.56271,                0.49963,                 1.0846,                0.87877,                0.85091,                0.88943,                0.71981,                0.75057,                0.65471,                 1.2977,              0.0069904,              0.0069904,              0.0069904
