                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.58265,                0.57779,                 1.0969,                0.88712,                0.76289,                0.83798,                0.70131,                0.70866,                0.77845,                 1.2365,              0.0077032,              0.0077032,              0.0077032
                    119,                0.59409,                0.58015,                 1.1095,                0.85817,                0.78871,                0.83881,                0.69396,                0.72225,                0.78311,                 1.2361,              0.0076834,              0.0076834,              0.0076834
                    120,                0.58733,                0.58096,                  1.099,                0.86927,                0.80309,                0.84007,                0.69928,                0.72734,                0.77658,                 1.2482,              0.0076636,              0.0076636,              0.0076636
                    121,                0.59131,                 0.5799,                 1.1057,                 0.8813,                0.79214,                0.83641,                0.70099,                0.71777,                0.78597,                 1.2419,              0.0076438,              0.0076438,              0.0076438
                    122,                0.58248,                0.57853,                 1.1074,                0.86302,                 0.7904,                0.82953,                 0.6942,                0.73385,                0.80835,                 1.2495,               0.007624,               0.007624,               0.007624
                    123,                0.58044,                0.57399,                 1.1011,                0.86035,                0.79213,                0.84061,                0.69924,                0.74053,                0.78175,                 1.2605,              0.0076042,              0.0076042,              0.0076042
                    124,                0.58652,                0.57809,                 1.0966,                0.85878,                0.78209,                0.83128,                 0.6967,                0.73248,                0.81136,                 1.2521,              0.0075844,              0.0075844,              0.0075844
                    125,                 0.5778,                0.56863,                 1.0983,                0.87764,                0.76534,                0.82809,                0.69322,                0.71771,                0.78222,                 1.2452,              0.0075646,              0.0075646,              0.0075646
                    126,                0.58048,                0.56785,                 1.0984,                0.86949,                0.78539,                0.83613,                0.68688,                0.73549,                0.81282,                 1.2487,              0.0075448,              0.0075448,              0.0075448
                    127,                0.57569,                 0.5828,                  1.103,                0.87497,                0.78528,                0.83474,                0.69257,                0.72482,                0.81072,                 1.2498,               0.007525,               0.007525,               0.007525
                    128,                0.57516,                0.56471,                 1.0978,                0.86832,                0.78899,                 0.8339,                0.69307,                0.73259,                0.81915,                 1.2547,              0.0075052,              0.0075052,              0.0075052
                    129,                0.58408,                0.57271,                 1.1023,                 0.8627,                 0.7783,                0.83412,                0.69294,                0.72451,                 0.8078,                 1.2546,              0.0074854,              0.0074854,              0.0074854
                    130,                0.58498,                0.57585,                 1.1023,                0.84422,                0.79552,                0.83349,                0.69603,                0.71631,                0.81831,                 1.2382,              0.0074656,              0.0074656,              0.0074656
                    131,                0.58308,                0.56604,                 1.0915,                0.86851,                0.78668,                0.83283,                0.69792,                0.71063,                0.79396,                 1.2435,              0.0074458,              0.0074458,              0.0074458
                    132,                0.56889,                  0.555,                 1.0843,                0.85728,                 0.7991,                 0.8367,                0.70398,                0.70694,                0.80799,                 1.2416,               0.007426,               0.007426,               0.007426
                    133,                0.56008,                0.55498,                 1.0902,                0.83768,                0.79905,                0.83383,                0.70401,                0.72375,                0.83611,                 1.2502,              0.0074062,              0.0074062,              0.0074062
                    134,                0.56348,                0.56351,                 1.0887,                0.85175,                0.80524,                0.82894,                0.70041,                0.71486,                0.82333,                 1.2459,              0.0073864,              0.0073864,              0.0073864
                    135,                0.56773,                0.54317,                 1.0861,                0.86298,                0.80275,                0.84142,                0.70247,                0.70263,                0.78368,                 1.2309,              0.0073666,              0.0073666,              0.0073666
                    136,                0.57231,                0.55427,                  1.092,                0.87066,                0.80449,                 0.8411,                0.70222,                0.71442,                0.79178,                 1.2392,              0.0073468,              0.0073468,              0.0073468
                    137,                0.56489,                0.54701,                 1.0912,                0.87857,                0.78446,                0.84016,                0.70573,                0.70539,                0.79366,                 1.2345,               0.007327,               0.007327,               0.007327
                    138,                0.56757,                 0.5482,                 1.0862,                0.89867,                0.76542,                0.83792,                0.70552,                0.72399,                0.81658,                 1.2484,              0.0073072,              0.0073072,              0.0073072
                    139,                0.56236,                0.55036,                 1.0898,                0.88014,                0.79044,                0.84101,                0.70133,                 0.7006,                 0.7754,                 1.2291,              0.0072874,              0.0072874,              0.0072874
                    140,                0.56597,                0.53266,                 1.0856,                0.87912,                0.78095,                0.84195,                0.70424,                0.72416,                0.78929,                 1.2496,              0.0072676,              0.0072676,              0.0072676
                    141,                0.56793,                0.54254,                 1.0887,                0.88124,                0.77536,                0.84014,                0.70411,                0.72945,                0.80316,                  1.253,              0.0072478,              0.0072478,              0.0072478
                    142,                0.57133,                0.55784,                 1.0928,                0.85579,                0.79845,                0.83592,                0.69725,                0.71987,                 0.7892,                 1.2454,               0.007228,               0.007228,               0.007228
                    143,                0.55854,                 0.5453,                 1.0809,                0.85783,                0.78925,                0.83077,                0.69764,                0.71113,                 0.8226,                 1.2356,              0.0072082,              0.0072082,              0.0072082
                    144,                0.56403,                0.53645,                 1.0857,                0.86722,                 0.8033,                0.84354,                0.71026,                0.70223,                 0.7901,                 1.2411,              0.0071884,              0.0071884,              0.0071884
                    145,                0.55937,                 0.5392,                 1.0874,                0.87044,                0.78919,                0.83893,                0.70749,                0.73117,                0.78874,                 1.2611,              0.0071686,              0.0071686,              0.0071686
                    146,                0.56062,                0.54721,                 1.0818,                  0.882,                0.79044,                0.84725,                 0.7077,                0.71333,                0.75836,                 1.2515,              0.0071488,              0.0071488,              0.0071488
                    147,                0.55986,                 0.5477,                 1.0856,                0.89492,                0.77492,                0.84688,                0.71091,                0.70518,                0.77426,                 1.2346,               0.007129,               0.007129,               0.007129
                    148,                0.57144,                0.55188,                 1.0862,                0.86812,                0.78464,                0.84264,                0.70431,                0.71406,                0.79904,                 1.2313,              0.0071092,              0.0071092,              0.0071092
                    149,                0.55327,                0.53934,                  1.078,                0.87676,                 0.7856,                0.84264,                0.70702,                0.71612,                0.79834,                 1.2257,              0.0070894,              0.0070894,              0.0070894
                    150,                0.54269,                0.51201,                 1.0716,                0.88844,                0.79137,                0.84707,                0.70437,                0.72979,                0.79555,                 1.2359,              0.0070696,              0.0070696,              0.0070696
                    151,                0.54079,                0.52603,                 1.0689,                0.86702,                0.79095,                 0.8419,                0.70282,                0.71859,                0.79525,                 1.2411,              0.0070498,              0.0070498,              0.0070498
                    152,                0.55921,                0.53595,                 1.0869,                0.88185,                0.77627,                0.84328,                0.70839,                 0.7103,                0.78119,                 1.2425,                0.00703,                0.00703,                0.00703
                    153,                0.55109,                0.53072,                 1.0787,                0.90366,                0.76938,                0.84494,                0.71596,                0.70111,                0.76152,                 1.2251,              0.0070102,              0.0070102,              0.0070102
                    154,                0.55542,                0.53242,                 1.0784,                 0.8577,                0.79444,                0.83807,                0.70423,                0.70954,                0.78449,                 1.2307,              0.0069904,              0.0069904,              0.0069904
